Date,ATM_ID,Withdrawal,Predicted_Withdrawal,Error,Abs_Pct_Error
1998-03-18,T1,30.0878684807256,41.435702360264756,-11.35,37.7
1998-03-19,T1,54.1383219954649,48.38018734804219,5.76,10.6
1998-03-20,T1,53.500566893424,43.064079621021804,10.44,19.5
1998-03-21,T1,39.6967120181406,33.46863109702423,6.23,15.7
1998-03-22,T1,29.7052154195011,30.583960286373028,-0.88,3.0
1998-03-23,T1,19.9404761904762,24.766983857390514,-4.83,24.2
1998-03-24,T1,28.6139455782313,29.32774324757544,-0.71,2.5
1998-03-25,T1,37.046485260771,38.525917102471894,-1.48,4.0
1998-03-26,T1,60.9268707482993,55.95593313801402,4.97,8.2
1998-03-27,T1,49.4047619047619,49.69968145561573,-0.29,0.6
1998-03-28,T1,30.6547619047619,35.034179936206144,-4.38,14.3
1998-03-29,T1,27.6927437641723,28.356236127286365,-0.66,2.4
1998-03-30,T1,27.593537414966,24.619717334354604,2.97,10.8
1998-03-31,T1,34.5804988662132,31.01706150903593,3.56,10.3
1998-04-01,T1,45.1955782312925,38.914138238798316,6.28,13.9
1998-04-02,T1,55.93820861678,59.523323396234346,-3.59,6.4
1998-04-03,T1,52.4801587301587,48.90797519810651,3.57,6.8
1998-04-04,T1,25.5385487528345,32.282795188495214,-6.74,26.4
1998-04-05,T1,19.2460317460317,26.96926102123316,-7.72,40.1
1998-04-06,T1,23.9937641723356,20.030222035908515,3.96,16.5
1998-04-07,T1,36.5362811791383,29.560253734833204,6.98,19.1
1998-04-08,T1,58.8860544217687,41.12289413723511,17.76,30.2
1998-04-09,T1,46.5277777777778,60.63167518045603,-14.1,30.3
1998-04-10,T1,40.6462585034014,45.832050630161824,-5.19,12.8
1998-04-11,T1,25.2692743764172,27.65287782931459,-2.38,9.4
1998-04-12,T1,30.7256235827664,23.915050198564224,6.81,22.2
1998-04-13,T1,29.5209750566893,23.676144634788088,5.84,19.8
1998-04-14,T1,26.2896825396825,34.68430547433567,-8.39,31.9
1998-04-15,T1,39.3707482993197,39.4741131842123,-0.1,0.3
1998-04-16,T1,54.6201814058957,52.352977483150894,2.27,4.2
1998-04-17,T1,49.0079365079365,41.049966481319586,7.96,16.2
1998-04-18,T1,31.3917233560091,31.443362368675075,-0.05,0.2
1998-04-19,T1,28.8548752834467,28.7898179225751,0.07,0.2
1998-04-20,T1,22.5056689342404,26.481816219650437,-3.98,17.7
1998-04-21,T1,29.1241496598639,28.537895518982936,0.59,2.0
1998-04-22,T1,37.3866213151927,41.39895977822795,-4.01,10.7
1998-04-23,T1,56.7460317460318,54.948530256159955,1.8,3.2
1998-04-24,T1,50.1700680272109,46.618654400152934,3.55,7.1
